# UU P&L Historian — pre-generated export
# asset: turbine_rpm   unit: RPM   generated: 2026-03-01T00:00:01
# normal operating range: 2850–3150 RPM   trip: 3300 RPM
timestamp,value,unit
2026-03-01T00:00:00,3001.2,RPM
2026-03-01T01:00:00,2998.7,RPM
2026-03-01T02:00:00,3003.1,RPM
2026-03-01T03:00:00,2997.4,RPM
2026-03-01T04:00:00,3005.8,RPM
2026-03-01T05:00:00,2999.2,RPM
2026-03-01T06:00:00,3002.6,RPM
2026-03-01T07:00:00,3000.0,RPM
2026-03-01T08:00:00,2996.3,RPM
2026-03-01T09:00:00,3004.5,RPM
2026-03-01T10:00:00,3001.9,RPM
2026-03-01T11:00:00,2998.1,RPM
2026-03-01T12:00:00,3000.7,RPM
2026-03-01T13:00:00,3003.4,RPM
2026-03-01T14:00:00,2995.6,RPM
2026-03-01T15:00:00,3006.2,RPM
2026-03-01T16:00:00,2999.8,RPM
2026-03-01T17:00:00,3002.3,RPM
2026-03-01T18:00:00,3001.1,RPM
2026-03-01T19:00:00,2997.9,RPM
2026-03-01T20:00:00,3004.0,RPM
2026-03-01T21:00:00,3000.5,RPM
2026-03-01T22:00:00,2998.4,RPM
2026-03-01T23:00:00,3002.8,RPM
