# UU P&L Historian — pre-generated export
# asset: line_voltage_a   unit: V   generated: 2026-03-01T00:00:01
# normal operating range: 196–253V   undervoltage trip: 196V (relay HR[0])
timestamp,value,unit
2026-03-01T00:00:00,229.8,V
2026-03-01T01:00:00,230.4,V
2026-03-01T02:00:00,229.1,V
2026-03-01T03:00:00,231.2,V
2026-03-01T04:00:00,230.7,V
2026-03-01T05:00:00,229.5,V
2026-03-01T06:00:00,230.9,V
2026-03-01T07:00:00,230.0,V
2026-03-01T08:00:00,229.3,V
2026-03-01T09:00:00,231.5,V
2026-03-01T10:00:00,230.2,V
2026-03-01T11:00:00,229.7,V
2026-03-01T12:00:00,230.6,V
2026-03-01T13:00:00,231.0,V
2026-03-01T14:00:00,229.4,V
2026-03-01T15:00:00,230.8,V
2026-03-01T16:00:00,229.9,V
2026-03-01T17:00:00,231.3,V
2026-03-01T18:00:00,230.1,V
2026-03-01T19:00:00,229.6,V
2026-03-01T20:00:00,230.5,V
2026-03-01T21:00:00,231.1,V
2026-03-01T22:00:00,229.2,V
2026-03-01T23:00:00,230.3,V
